source,path,file_type,size_bytes_if_known,reason_relevant,contains_metric_logic,contains_entrypoint,contains_dependency_imports,notes
https://github.com/facebookresearch/ParlAI,projects/roscoe/roscoe.py,blob,7212,path/name matches ROSCOE or reasoning,True,True,True,inside ParlAI ROSCOE project; source fetched for inspection; CLI dataset scoring wrapper
https://github.com/facebookresearch/ParlAI,projects/roscoe/roscoe_data,tree,,path/name matches ROSCOE or reasoning,,,,inside ParlAI ROSCOE project
https://github.com/facebookresearch/ParlAI,projects/roscoe/roscoe_data/download_annotated.sh,blob,1655,path/name matches ROSCOE or reasoning,,,,inside ParlAI ROSCOE project
https://github.com/facebookresearch/ParlAI,projects/roscoe/roscoe_data/generate_perturbed_data.sh,blob,7278,path/name matches ROSCOE or reasoning,,,,inside ParlAI ROSCOE project
https://github.com/facebookresearch/ParlAI,projects/roscoe/roscoe_data/restore_annotated.py,blob,11686,path/name matches ROSCOE or reasoning,,,,inside ParlAI ROSCOE project
https://github.com/facebookresearch/ParlAI,projects/roscoe/roscoe_data/restore_data.py,blob,6071,path/name matches ROSCOE or reasoning,,,,inside ParlAI ROSCOE project
https://github.com/facebookresearch/ParlAI,projects/roscoe/roscoe_data/unperturbed_ids.json,blob,597046,path/name matches ROSCOE or reasoning,,,,inside ParlAI ROSCOE project
https://github.com/facebookresearch/ParlAI,projects/roscoe/score.py,blob,39044,path/name matches ROSCOE or reasoning,True,False,True,inside ParlAI ROSCOE project; source fetched for inspection; core Evaluator and metric constants
https://github.com/facebookresearch/ParlAI,projects/roscoe/synthetic_evaluation,tree,,path/name matches ROSCOE or reasoning,,,,inside ParlAI ROSCOE project
https://github.com/facebookresearch/ParlAI,projects/roscoe/synthetic_evaluation/score_all.sh,blob,1032,path/name matches ROSCOE or reasoning,,,,inside ParlAI ROSCOE project
https://github.com/facebookresearch/ParlAI,projects/roscoe/synthetic_evaluation/synthetic_roscoe.py,blob,8049,path/name matches ROSCOE or reasoning,True,True,False,inside ParlAI ROSCOE project; source fetched for inspection
https://github.com/facebookresearch/ParlAI,projects/roscoe/utils.py,blob,3998,path/name matches ROSCOE or reasoning,False,False,True,inside ParlAI ROSCOE project; source fetched for inspection
https://github.com/facebookresearch/ParlAI,tests/nightly/cpu/test_roscoe.py,blob,4230,path/name matches ROSCOE or reasoning,True,True,True,source fetched for inspection
https://github.com/facebookresearch/ParlAI,tests/tasks/reasoning_teacher,tree,,path/name matches ROSCOE or reasoning,,,,
https://github.com/facebookresearch/ParlAI,tests/tasks/reasoning_teacher/test_abstract_reasoning_teacher.py,blob,5087,path/name matches ROSCOE or reasoning,,,,
https://github.com/facebookresearch/ParlAI,tests/tasks/reasoning_teacher/test_math_dataset_step_by_step_teacher.py,blob,1852,path/name matches ROSCOE or reasoning,,,,
https://github.com/facebookresearch/ParlAI,tests/tasks/reasoning_teacher/test_question_answer.py,blob,1989,path/name matches ROSCOE or reasoning,,,,
https://github.com/facebookresearch/ParlAI,tests/tasks/reasoning_teacher/test_step_by_step.py,blob,8582,path/name matches ROSCOE or reasoning,,,,
