run_id,model_name,scenario_id,answer_length,flag_types,severities,classification,reason,total_aligned_candidate_count,filled_final_block_count,blank_template_block_count,distinct_filled_final_block_count,chars_after_last_filled_final_block,has_repetition_after_final_block,has_blank_template_after_last_filled_block,has_multiple_distinct_filled_blocks,has_meta_discussion_after_final_block,display_span_pollution_near_final
392,Granite 4.1 8B,unknown,5268,unmatched_bracket_display,warning,KEEP_CLEAN,"single clean filled final-answer block near the end, no repetition or pollution detected",1,1,0,1,3,False,False,False,False,False
394,Granite 4.1 8B,unknown,5386,unmatched_bracket_display,warning,KEEP_CLEAN,"single clean filled final-answer block near the end, no repetition or pollution detected",1,1,0,1,3,False,False,False,False,False
412,Granite 4.1 8B,unknown,2785,unmatched_bracket_display,warning,KEEP_CLEAN,"single clean filled final-answer block near the end, no repetition or pollution detected",1,1,0,1,3,False,False,False,False,False
413,Granite 4.1 8B,unknown,2934,unmatched_bracket_display,warning,KEEP_CLEAN,"single clean filled final-answer block near the end, no repetition or pollution detected",1,1,0,1,3,False,False,False,False,False
414,Granite 4.1 8B,unknown,2933,unmatched_bracket_display,warning,KEEP_CLEAN,"single clean filled final-answer block near the end, no repetition or pollution detected",1,1,0,1,3,False,False,False,False,False
467,NVIDIA Nemotron 3 Nano 30B-A3B,unknown,3433,unmatched_bracket_display,warning,KEEP_CLEAN,"single clean filled final-answer block near the end, no repetition or pollution detected",2,1,0,1,3,False,False,False,False,False
496,Granite 4.1 8B,unknown,3643,unmatched_bracket_display,warning,KEEP_CLEAN,"single clean filled final-answer block near the end, no repetition or pollution detected",2,1,0,1,3,False,False,False,False,False
497,Granite 4.1 8B,unknown,3543,unmatched_bracket_display,warning,KEEP_CLEAN,"single clean filled final-answer block near the end, no repetition or pollution detected",2,1,0,1,3,False,False,False,False,False
498,Granite 4.1 8B,unknown,3701,unmatched_bracket_display,warning,KEEP_CLEAN,"single clean filled final-answer block near the end, no repetition or pollution detected",2,1,0,1,3,False,False,False,False,False
509,NVIDIA Nemotron 3 Nano 30B-A3B,unknown,3757,unmatched_bracket_display,warning,KEEP_CLEAN,"single clean filled final-answer block near the end, no repetition or pollution detected",3,1,0,1,3,False,False,False,False,False
514,Gemma 3 12B IT,unknown,25613,odd_single_dollar,warning,UNUSABLE,"no complete filled final-answer block found anywhere in the answer; repetition/looping present, preventing resolution",0,0,0,0,,False,False,False,False,False
559,Granite 4.1 8B,unknown,2626,unmatched_bracket_display,warning,KEEP_CLEAN,"single clean filled final-answer block near the end, no repetition or pollution detected",1,1,0,1,3,False,False,False,False,False
560,Granite 4.1 8B,unknown,2618,unmatched_bracket_display,warning,KEEP_CLEAN,"single clean filled final-answer block near the end, no repetition or pollution detected",1,1,0,1,3,False,False,False,False,False
561,Granite 4.1 8B,unknown,2465,unmatched_bracket_display,warning,KEEP_CLEAN,"single clean filled final-answer block near the end, no repetition or pollution detected",1,1,0,1,3,False,False,False,False,False
650,Granite 4.1 8B,unknown,2242,unmatched_bracket_display,warning,KEEP_CLEAN,"single clean filled final-answer block near the end, no repetition or pollution detected",1,1,0,1,3,False,False,False,False,False
651,Granite 4.1 8B,unknown,2482,unmatched_bracket_display,warning,KEEP_CLEAN,"single clean filled final-answer block near the end, no repetition or pollution detected",1,1,0,1,3,False,False,False,False,False
652,Granite 4.1 8B,unknown,2312,unmatched_bracket_display,warning,KEEP_CLEAN,"single clean filled final-answer block near the end, no repetition or pollution detected",1,1,0,1,3,False,False,False,False,False
