run_id,scenario_id,model_name,md_path,answer_char_length,answer_sha256
18,unknown,Ministral 3 8B,run_18__unknown__ministral_3_8b.md,9189,b76e848c70cd5d2ece047d320abbfb452d600a390df9195459dad4611a90e2a2
19,unknown,Ministral 3 8B,run_19__unknown__ministral_3_8b.md,7326,7764a564e28d5bd2ffe7c2550385bb5c516db467e62ef7fe20c875d54c28fc61
20,unknown,Ministral 3 8B,run_20__unknown__ministral_3_8b.md,33973,38b99b7a3fcd1076415c28efa24cad260a2fd194f18c56c440977ed39dff7fee
21,unknown,Mistral NeMo 12B,run_21__unknown__mistral_nemo_12b.md,1562,b158cfd2102ca2e4744411b9ebaddaa301c6a2cd3b8c7d1aa153c46100a4fa31
22,unknown,Mistral NeMo 12B,run_22__unknown__mistral_nemo_12b.md,1725,cf12420cde10683383c5daaed779c9c086d7a2b364489d51516f989119768de2
23,unknown,Mistral NeMo 12B,run_23__unknown__mistral_nemo_12b.md,1562,b158cfd2102ca2e4744411b9ebaddaa301c6a2cd3b8c7d1aa153c46100a4fa31
24,unknown,Mistral NeMo 12B,run_24__unknown__mistral_nemo_12b.md,2978,87ed0bd64f03e5ff5ca7cc1848706729d6fa91aca16e050134bb3f97a1f92dbc
25,unknown,Mistral Small 3.2 24B Instruct,run_25__unknown__mistral_small_3_2_24b_instruct.md,2531,88d39f5b926867b90b394c3447c4c20c4e9ee3515b66e5a43da6866a71e488bb
26,unknown,Mistral Small 3.2 24B Instruct,run_26__unknown__mistral_small_3_2_24b_instruct.md,2415,be5119fbb3e205bcbe3245e53b04bb1e3b5936fa7f18e7669af645a919a08350
27,unknown,NVIDIA Nemotron 3 Nano 30B-A3B,run_27__unknown__nvidia_nemotron_3_nano_30b_a3b.md,51960,583a16657a37097dbc2a39d3c1403fc0a2bd96ca1ad9dc9a73e2c67721984d81
28,unknown,NVIDIA Nemotron 3 Nano 30B-A3B,run_28__unknown__nvidia_nemotron_3_nano_30b_a3b.md,2746,2b554dbc38cca86d19f28e193125badd30371fbc675cdea474d7c0f4628acd76
29,unknown,Qwen3 8B,run_29__unknown__qwen3_8b.md,210,1d9eaf2f320cd5ea92599790808264c374bec9ac63cc48c6ce18b81005a8772c
30,unknown,Qwen3 8B,run_30__unknown__qwen3_8b.md,221,bb1e81daf0f652b285c4e7739364fa322e5a31859ff9f0458234b97ca9abf5bf
31,unknown,Qwen3.5 9B,run_31__unknown__qwen3_5_9b.md,4158,ec7fceac4e42de878e1a0b93884b44d790f97c0aa2fdb8e0beed474398110ede
32,unknown,Qwen3.5 9B,run_32__unknown__qwen3_5_9b.md,4152,4a970ebfae33fd63cde31cf4c75213ce48eb990a2fe9e6be9613116a71a18856
33,unknown,Gemma 3 12B IT,run_33__unknown__gemma_3_12b_it.md,3338,c5ebf62f74ebbee45426b3d4a389ba915a6ca4442825947683025a1db6540e98
34,unknown,Gemma 3 12B IT,run_34__unknown__gemma_3_12b_it.md,3596,81ffe41b1dbb2158cc2d2d8104fe6ca5124b428870b3b9b0c1bb65e819fe32c6
35,unknown,Gemma 3 12B IT,run_35__unknown__gemma_3_12b_it.md,3259,f2131e329679742fb7c5a1869baa760844f24d4bed933b07d0d2997e4aad205b
36,unknown,Gemma 3 27B IT,run_36__unknown__gemma_3_27b_it.md,3889,ef5bc8599dec3e57052649a6332625c4ddd17c119a2b21498a1f241dd2a4615f
37,unknown,Gemma 4 31B IT,run_37__unknown__gemma_4_31b_it.md,3361,7e622add003cdcd7e83ac4a970aebd16437c7234c0e7f46e52a7fef16a6d9f39
38,unknown,Granite 4.1 8B,run_38__unknown__granite_4_1_8b.md,4081,b0d7c6b2bd8a7aa67d05b3fa21efa8b491ac40adfbd447333cfa14259e33054c
39,unknown,Granite 4.1 8B,run_39__unknown__granite_4_1_8b.md,3820,ed2363db7889c950203fd3f72fcfe4bc140d2d6a56e5b7b8d171d1288039b773
40,unknown,Granite 4.1 8B,run_40__unknown__granite_4_1_8b.md,3767,c5030432e69bb109c8b64e9cb92dd5c6076ccabc195829b999ce0680487af387
41,unknown,Llama 3.1 8B Instruct,run_41__unknown__llama_3_1_8b_instruct.md,47854,78cb8251a7fe8f12a144730dd9ad2b6890226f0ce4bb4daee6305dcacf34d945
42,unknown,Llama 3.1 8B Instruct,run_42__unknown__llama_3_1_8b_instruct.md,2710,cf9f2d526cb8703bb210ecfd3317423b43755e893e6d7aebb2fdbc0dd73d5de3
43,unknown,Llama 3.1 8B Instruct,run_43__unknown__llama_3_1_8b_instruct.md,3496,99625626644cb0e64ff3f5dad2629fcd6e03ba5e25e7603ada7fad386ff1e33f
44,unknown,Ministral 3 8B,run_44__unknown__ministral_3_8b.md,4983,65c407ea77dc6c80155f2e3570c64f904758a7a638bb017eb4544f33ae6852fb
45,unknown,Ministral 3 8B,run_45__unknown__ministral_3_8b.md,6571,f4dfa8a8eca9be27e9e28a7e854826fe7616edc2dbc9e77325d63b7e923bc2ba
46,unknown,Ministral 3 8B,run_46__unknown__ministral_3_8b.md,4134,7aa0d5aa95946d0e2f83b52ed8a6ec95ff488fb73fbe65b5a8f66963e16ed387
47,unknown,Mistral NeMo 12B,run_47__unknown__mistral_nemo_12b.md,2150,7eb639e7f7985ece8922b56e570e8a0e67c94b4451102bf63acd0775f47a3a54
48,unknown,Mistral NeMo 12B,run_48__unknown__mistral_nemo_12b.md,1933,99cf90fc8611274f2adfb2d4b7281c9414ba6e21e00ac38c6fccea3aa0329785
49,unknown,Mistral NeMo 12B,run_49__unknown__mistral_nemo_12b.md,2104,b6e6770dfb4fb8f3a92d33a8e6340ed16c8ff00c83e58f84be179d7799b44862
50,unknown,Mistral Small 3.2 24B Instruct,run_50__unknown__mistral_small_3_2_24b_instruct.md,2511,4f38008d7027c56cd6200011c30a93329773d4c2d8cb3c5cb2d83c8381a038ea
51,unknown,NVIDIA Nemotron 3 Nano 30B-A3B,run_51__unknown__nvidia_nemotron_3_nano_30b_a3b.md,26707,1cae2ca2c767d1806b135232c8a4219c40862458ef491f84c36b90e2a6b420f1
52,unknown,Qwen3 8B,run_52__unknown__qwen3_8b.md,208,19d307fde0bdf939509f0b6af367bd46a66d8f060f522075e5f438d3bd8592bc
53,unknown,Qwen3.5 9B,run_53__unknown__qwen3_5_9b.md,4311,5b3a741ff0f2036763704e438f55cd49ef5eec3e451ac056b246cd52b332a0a5
54,unknown,Gemma 3 12B IT,run_54__unknown__gemma_3_12b_it.md,5362,3cc801fece053a1d2e4c3828d798227d1d8dd72d0b39e108249c4030862241a1
55,unknown,Gemma 3 12B IT,run_55__unknown__gemma_3_12b_it.md,5009,2c98c14ce148e83f5deef92b00803d682accd7efeece63a1b43df1f82e1d81a0
56,unknown,Gemma 3 12B IT,run_56__unknown__gemma_3_12b_it.md,5392,bc4f99452838f6deb51edc946bb711a8dd85eed261a54b2112851c140818aa40
57,unknown,Gemma 3 27B IT,run_57__unknown__gemma_3_27b_it.md,5679,6088b8f919e2f33bfcd2630b01b979e97b1b235588906a1738a594a17023310b
58,unknown,Gemma 4 31B IT,run_58__unknown__gemma_4_31b_it.md,3380,fbce1d341e77ca34a94d076380d9dfc4cf7199073abf2efac9bf171708b60e17
59,unknown,Granite 4.1 8B,run_59__unknown__granite_4_1_8b.md,4624,38f40ea39a9fce12249b5385289915f71ca3ae9d819e60ff48456832205050cd
60,unknown,Granite 4.1 8B,run_60__unknown__granite_4_1_8b.md,5721,9ab901b5fd57cf43b285cb1ffac79a6049c70c4002f6bb42bd9921c8a9f5352a
61,unknown,Granite 4.1 8B,run_61__unknown__granite_4_1_8b.md,4800,8f1f5d6dc673f8931fddfef7b03ac105ffb6506bc51564558de305f7047f9202
62,unknown,Llama 3.1 8B Instruct,run_62__unknown__llama_3_1_8b_instruct.md,5102,4643b698e0ddee6295190c66c81f67fefc0e848d90377ca240f7aedc2c4f4125
63,unknown,Llama 3.1 8B Instruct,run_63__unknown__llama_3_1_8b_instruct.md,4421,9f4b34120d726e201cee98c09d0bf7ad31c83d6141f07a43e9f4af3dd95f60f7
64,unknown,Llama 3.1 8B Instruct,run_64__unknown__llama_3_1_8b_instruct.md,3398,76d1d88f7f5c8c1a4f567b3eafcf99c26ace2a746c61555c45e5b618e6cdf50f
65,unknown,Ministral 3 8B,run_65__unknown__ministral_3_8b.md,55038,37a0143257406a2b9f62d37bbedadc82c2b8bf8fca7cc5589cafbc7187a35e5a
66,unknown,Ministral 3 8B,run_66__unknown__ministral_3_8b.md,7944,2e1ea45d98c71e4182d5d8f92cbb880df2d79c15290e1494a4a0caa83ea2c478
67,unknown,Ministral 3 8B,run_67__unknown__ministral_3_8b.md,7632,0444ffa7065740a9682b29d9f1436e51dbbc977bb37aadbd277b6e5ad6a67e8b
68,unknown,Mistral NeMo 12B,run_68__unknown__mistral_nemo_12b.md,2740,98de19e64c926ace4de1fbe261a7a18e51cf0a9757d3dae7ba8c7fdbb079740d
69,unknown,Mistral NeMo 12B,run_69__unknown__mistral_nemo_12b.md,2190,8fba0d58f7a6de3524c82749544786de2b26977abe3d14bd87bae602be8ebe06
70,unknown,Mistral NeMo 12B,run_70__unknown__mistral_nemo_12b.md,2266,10e337e3dea379e1ca14b5720dbdf321c7047fdc7c5a73e410bc2e2264ae19ca
71,unknown,Mistral Small 3.2 24B Instruct,run_71__unknown__mistral_small_3_2_24b_instruct.md,3639,7117c46695c8fbdd7a0041251ef1463a0588f0a0a61e8693abfc31d30c8f07ca
72,unknown,NVIDIA Nemotron 3 Nano 30B-A3B,run_72__unknown__nvidia_nemotron_3_nano_30b_a3b.md,33657,cb7d0c209434a4f1d5712934c99c7398b5c20fe1f5aaa6dae2beaf40d4e37e41
73,unknown,Qwen3 8B,run_73__unknown__qwen3_8b.md,104,a4b4cd6744b7429555db89140a540cd8c13fb9dec9cd067ab502dff674a17f1b
74,unknown,Qwen3.5 9B,run_74__unknown__qwen3_5_9b.md,2700,282fb335b545bbb208774d10843fb7b814a10fd259e83896a990906e867c13ab
75,unknown,Gemma 3 12B IT,run_75__unknown__gemma_3_12b_it.md,3311,6c7b1b089d6a9a59a7dfb8d074e87fec5b5ace96c5edf243f58b1228ac696e96
76,unknown,Gemma 3 12B IT,run_76__unknown__gemma_3_12b_it.md,3616,04ecba4fcf76a82660ddc02e25bd9f122d6dcc590e5c513f5aad22262375d93b
77,unknown,Gemma 3 12B IT,run_77__unknown__gemma_3_12b_it.md,3328,fd2da97925f79c6d8e0ed7b561cab3609988515d258a84e2b8bec04726d19a97
78,unknown,Gemma 3 27B IT,run_78__unknown__gemma_3_27b_it.md,4301,6a3e008942bdb5415df463bbf925c4d8209daeae0603b91543cf4098701d1db3
79,unknown,Gemma 4 31B IT,run_79__unknown__gemma_4_31b_it.md,3175,9320ef1afd355cca845a07d24f3f7e01a85432a6c98bd4a2aab1b1d4f2e8324e
80,unknown,Granite 4.1 8B,run_80__unknown__granite_4_1_8b.md,3415,8e3c627aabac54cb4f689b45d7df24a4bc03942d280e8a48e15c0de038617eb3
81,unknown,Granite 4.1 8B,run_81__unknown__granite_4_1_8b.md,3351,a11e8f847a82ee02935c532d8f7d96934b1340db6e5e5943821d2cc7db63a4cd
82,unknown,Llama 3.1 8B Instruct,run_82__unknown__llama_3_1_8b_instruct.md,2848,96bfb8fc3b3e501d1739191245637d34379b69b6a641754e811857a9e4bca559
83,unknown,Llama 3.1 8B Instruct,run_83__unknown__llama_3_1_8b_instruct.md,2848,96bfb8fc3b3e501d1739191245637d34379b69b6a641754e811857a9e4bca559
84,unknown,Llama 3.1 8B Instruct,run_84__unknown__llama_3_1_8b_instruct.md,3675,c43622d0f648b67b893613f6f392e4767c44911b0a30d9babc9713e9581d50c7
85,unknown,Ministral 3 8B,run_85__unknown__ministral_3_8b.md,5196,8b848b2ecd391d1cdc40236d507d6d81e0abf8620f3288d961c279b78bd91180
86,unknown,Ministral 3 8B,run_86__unknown__ministral_3_8b.md,4961,320c110978ab52287f20c4a7fba77ec95ef501c7c2a680b8aec12924f99537f5
87,unknown,Ministral 3 8B,run_87__unknown__ministral_3_8b.md,4310,ad64791af4a6e33891cfc13bc352048fcb87afb5c8ed429f641a4648ceac3f68
88,unknown,Mistral NeMo 12B,run_88__unknown__mistral_nemo_12b.md,2165,4488694d5f2ac5ed3c0d4d7550f9ab3b30bead4bce17a3504436079b8c1915af
89,unknown,Mistral NeMo 12B,run_89__unknown__mistral_nemo_12b.md,2184,f9f6b6bead61017f865873e15d89f357348c7be617402b8220066147c9ec1b55
90,unknown,Mistral NeMo 12B,run_90__unknown__mistral_nemo_12b.md,2552,78d568eec584c0f63adc0bd8010b1571604638d7eea9c172f760246c57f25b21
91,unknown,Mistral Small 3.2 24B Instruct,run_91__unknown__mistral_small_3_2_24b_instruct.md,3421,c7f0d9f7e6bc0115a431e2da657d99048f0d5c564c2b37ddf24af2b3e0e21a94
92,unknown,NVIDIA Nemotron 3 Nano 30B-A3B,run_92__unknown__nvidia_nemotron_3_nano_30b_a3b.md,3438,2e3c95ebb191a68f8d425c9d813e7c57268a5d56414488a70f7ad8d842b98876
93,unknown,Qwen3 8B,run_93__unknown__qwen3_8b.md,158,471404dadbca86a30003bcdc3bf6ffc8419899eee8fb8a327257d5bcda6f16e8
94,unknown,Qwen3.5 9B,run_94__unknown__qwen3_5_9b.md,5672,70ea4934bb1a4c71cf034a35d0fd933097ab9d1a59fecb6be5aa002d8d1bbcff
95,unknown,Gemma 3 12B IT,run_95__unknown__gemma_3_12b_it.md,4259,012ceca68872edf54e90c222c4896018f32db61b33c8e2c33fb81ca70e2d8b16
96,unknown,Gemma 3 12B IT,run_96__unknown__gemma_3_12b_it.md,3959,44dc5ab53d2d35ce65ef4c952f6dc2bf0aa8ab1686198ad5bd4526554bdb1f75
97,unknown,Gemma 3 27B IT,run_97__unknown__gemma_3_27b_it.md,7444,8d9d5c4a62664f33109b532ee0c434cea6b92a2763b8bbe963a9e9abc49d1e0a
98,unknown,Gemma 4 31B IT,run_98__unknown__gemma_4_31b_it.md,3122,d3e877839f8346122abe06326421b5ad1de2475d888a343ed93fb0a16367e2bf
99,unknown,Granite 4.1 8B,run_99__unknown__granite_4_1_8b.md,4514,2c97f444175d9c15e3395f4e917b8cefcfb611001682b70e7cdd4fe09d5305ba
100,unknown,Granite 4.1 8B,run_100__unknown__granite_4_1_8b.md,4762,d19e3cd74c7ae6f6954da7b66ffed08a7be85543e72d2cfebb821e5f71628829
101,unknown,Granite 4.1 8B,run_101__unknown__granite_4_1_8b.md,4441,7c88ce6c04c945d1446678cbf4fa609250d061a09f44f2803e96e7072c933267
102,unknown,Llama 3.1 8B Instruct,run_102__unknown__llama_3_1_8b_instruct.md,2010,a541a00acd5578a13d1bb4d519bc130739dfc88ffe47d021c003155da720b8ab
103,unknown,Llama 3.1 8B Instruct,run_103__unknown__llama_3_1_8b_instruct.md,2907,03ae6b0aef7d220fcdc02d59c76b7aa0405ea7f278f331a0498899cc7a5eef09
104,unknown,Llama 3.1 8B Instruct,run_104__unknown__llama_3_1_8b_instruct.md,3056,2b97aed5959ee0f21188545374d3047ae30864c8aee3f76acddd8d33b4f66cdc
105,unknown,Ministral 3 8B,run_105__unknown__ministral_3_8b.md,3852,ba4d39c8de606963fd3eaed3d5185473b92445ba6ca3237de8f9c57c38c63ae8
106,unknown,Ministral 3 8B,run_106__unknown__ministral_3_8b.md,4321,47b0b610294f74522b11cb203c8cc74f966019dd2e8c71b066733b6d41a3d384
107,unknown,Ministral 3 8B,run_107__unknown__ministral_3_8b.md,8453,f2706d5ab98076e8cb506ff522c9a9fb21ae9658baba85077b1eed4170cb750b
108,unknown,Mistral NeMo 12B,run_108__unknown__mistral_nemo_12b.md,1999,02781efb8e1937bc3f8f4c4fc0a8aae3fdd23900721f5b3e34cb4b75a31cc982
109,unknown,Mistral NeMo 12B,run_109__unknown__mistral_nemo_12b.md,1998,330b6711a1f66bb5ae89093d452b56c549cc02aadea3c330ba2684251c268261
110,unknown,Mistral NeMo 12B,run_110__unknown__mistral_nemo_12b.md,1999,02781efb8e1937bc3f8f4c4fc0a8aae3fdd23900721f5b3e34cb4b75a31cc982
111,unknown,Mistral Small 3.2 24B Instruct,run_111__unknown__mistral_small_3_2_24b_instruct.md,3967,1fea14e280a274671c80e06ffa62a070d6bdf75eb146051862521f71cddc7972
112,unknown,NVIDIA Nemotron 3 Nano 30B-A3B,run_112__unknown__nvidia_nemotron_3_nano_30b_a3b.md,2386,c17c55a5be18ba75d031633f40ae223caf727eae9da4a738ce20bf7d62dab58b
113,unknown,Qwen3 8B,run_113__unknown__qwen3_8b.md,142,678096d122fc93f41692062d2a1e3855e9268e653987dcc3910e329d024589e0
114,unknown,Qwen3.5 9B,run_114__unknown__qwen3_5_9b.md,255,3043fcfa87faa4e33a5f11c8cda45a2b531593764c387f1e2b5c9d5ce5a3b61a
115,unknown,Gemma 3 12B IT,run_115__unknown__gemma_3_12b_it.md,4087,88a4547c869f118061ef66f41bab59ee9cd93ded6ea7483e20830a865636750c
116,unknown,Gemma 3 12B IT,run_116__unknown__gemma_3_12b_it.md,3579,b063a59be0a9edddfc8d454a19149153426f3ef6e0826471b0c60b0d4216e0ef
117,unknown,Gemma 3 12B IT,run_117__unknown__gemma_3_12b_it.md,3545,44148dd8d3c4fab26b83640861764f761dbe0bf7f6aa28d4ad734c63d113d4c4
118,unknown,Gemma 3 27B IT,run_118__unknown__gemma_3_27b_it.md,3370,acca5df5754e7be2cc0967478dfdea805e68fca30f356d05c64cf6dc262b21db
119,unknown,Gemma 4 31B IT,run_119__unknown__gemma_4_31b_it.md,2733,5fc17f2bf68c4254acdfe8579c6b273ea6d73ef9c2298469ed8a7c0ed134d849
120,unknown,Granite 4.1 8B,run_120__unknown__granite_4_1_8b.md,2751,5d41d9449da298c967c9ecf4a8a018672f4206fefcb08c1fca8a20a111885597
121,unknown,Granite 4.1 8B,run_121__unknown__granite_4_1_8b.md,2886,be36e750963aa51b2a6fdd68cb8c621980dec6840f831a06eee35c325b7ad1c1
122,unknown,Granite 4.1 8B,run_122__unknown__granite_4_1_8b.md,2912,0da1d168eda90da11e9240955d6da435daf11db722610bdc8a4bf1bfe6fe387b
123,unknown,Llama 3.1 8B Instruct,run_123__unknown__llama_3_1_8b_instruct.md,1789,6cd3f0d3b3258879b3ac98b34596a2cbc03258d9a118c645569d8ad19676a230
124,unknown,Llama 3.1 8B Instruct,run_124__unknown__llama_3_1_8b_instruct.md,2570,fe35445fbabaca08ab024db5513cdfd1f451832275bd9f62dd63b4421980650e
125,unknown,Llama 3.1 8B Instruct,run_125__unknown__llama_3_1_8b_instruct.md,2817,3d88dd161419098aaa62f053c5748d5feaf445d41d09688864082f5ccaa67833
126,unknown,Ministral 3 8B,run_126__unknown__ministral_3_8b.md,3381,67fd817a026a1c8356ab08a057099b7b059a293a139125d1ad7e07fbc7181bbb
127,unknown,Ministral 3 8B,run_127__unknown__ministral_3_8b.md,3495,e9925edc898a2a345aebb56b51b66cb443a874fe68a1cf1a73ce69d9f5ee3774
128,unknown,Ministral 3 8B,run_128__unknown__ministral_3_8b.md,3710,ef631ee90042a53e5ba9b7f7ab15eeb378159cfffb4d128ff95a8e23b31bfbdc
129,unknown,Mistral NeMo 12B,run_129__unknown__mistral_nemo_12b.md,1600,aec07eba8025f48588cc87d18a5d7a6a571779369be02281c2ed8253d722a007
130,unknown,Mistral NeMo 12B,run_130__unknown__mistral_nemo_12b.md,2403,6e3d7b6a975a0c0c0841d2bef253743d868d735d9a2039843ad40cd6cc9ec271
131,unknown,Mistral NeMo 12B,run_131__unknown__mistral_nemo_12b.md,2077,af07bf53df3e7c5ea64e3eff2af6c4797a6f135dad427f6786541b88458d625d
132,unknown,Mistral Small 3.2 24B Instruct,run_132__unknown__mistral_small_3_2_24b_instruct.md,2779,4036371c7e69e440c8200b65cd53c4e8bb1445b91c37a80da5d258e8d7c67952
133,unknown,NVIDIA Nemotron 3 Nano 30B-A3B,run_133__unknown__nvidia_nemotron_3_nano_30b_a3b.md,1646,e90fbd46f8a8f8eaca2aea9e42f0029ac18cf0b6182a695b567107ebb0f37e46
134,unknown,Qwen3 8B,run_134__unknown__qwen3_8b.md,151,9f1801636e2944d8c061627ddac09462f82a444b9745a27125f582f2952d0349
135,unknown,Qwen3.5 9B,run_135__unknown__qwen3_5_9b.md,3541,52182ea63b2ef69e335d9ae955b7c3bb459f721f94f9401fef960c19260d0ff6
136,unknown,Gemma 3 12B IT,run_136__unknown__gemma_3_12b_it.md,3798,4330fd626cde70ea953f84cf5f1243c5467b3066bd29f0c761baeeaa1a24df59
137,unknown,Gemma 3 12B IT,run_137__unknown__gemma_3_12b_it.md,3365,78aceeba73b610e3bc64c199f9f3934d0b1fbf7db33dfc42af41eb9b7a8667ef
138,unknown,Gemma 3 12B IT,run_138__unknown__gemma_3_12b_it.md,3744,36a87cf02362a0e798193f8082da6ed5f7d25ca058cdcfcd0196e79674604166
139,unknown,Gemma 3 27B IT,run_139__unknown__gemma_3_27b_it.md,2695,053062950dc3312e485959aff88e9dbb024fecdea7139a02c34eaaddc6d7ce1e
140,unknown,Gemma 4 31B IT,run_140__unknown__gemma_4_31b_it.md,2966,0df9ff7a90c3cab908a3933613706b50c82875286c15ab1803d5aa1b67ac4f5b
141,unknown,Granite 4.1 8B,run_141__unknown__granite_4_1_8b.md,3392,f303dff9ae5641700c67b7db30019d9dbd2198693b73667035ddc5e508faa09e
142,unknown,Granite 4.1 8B,run_142__unknown__granite_4_1_8b.md,3838,b53b57e6f5c8adefe1f51e25b212c47b84bc17a5083e25e66e5d2227e2490a79
143,unknown,Granite 4.1 8B,run_143__unknown__granite_4_1_8b.md,3516,3f5cbc7451ae7e6af3883e9e0b92167573848081ce5bb09a42d7c33a8f1581d1
144,unknown,Llama 3.1 8B Instruct,run_144__unknown__llama_3_1_8b_instruct.md,28071,90eac10930229bbb87048a298d45955a76115a33f5ff4097330901c926b28177
145,unknown,Llama 3.1 8B Instruct,run_145__unknown__llama_3_1_8b_instruct.md,2738,dec3aaa54f970dc3d8bab82dbde32a4dd1e9f2697546425869121fbb3d1101f6
146,unknown,Llama 3.1 8B Instruct,run_146__unknown__llama_3_1_8b_instruct.md,2898,a4923c834e754222cf1d751f2ed7ec5e71b210828a97e0f802c0f13f8d418ffe
147,unknown,Ministral 3 8B,run_147__unknown__ministral_3_8b.md,3279,a0f79f68fdd302d0b3d66400dbcf41450ac39dec0473594e1e3abe58027617e0
148,unknown,Ministral 3 8B,run_148__unknown__ministral_3_8b.md,5004,303231b5a945af1c532473f57718b04a7e6c3d8f3585d1fccf8b685ae051410b
149,unknown,Ministral 3 8B,run_149__unknown__ministral_3_8b.md,4236,6735280abea2b2843c545515fb0a2b240d49c1a63621f81e36a7782acb604cfa
150,unknown,Mistral NeMo 12B,run_150__unknown__mistral_nemo_12b.md,1741,0a47cacbb5d4ccb9b8bdf56140cadacfbcb2fe77679e285442945bbea9bfce09
151,unknown,Mistral NeMo 12B,run_151__unknown__mistral_nemo_12b.md,1889,c65e168109569f4b2ef08c6edfdabbf213a59862fbe1930c28b34e6c1ecb907c
152,unknown,Mistral NeMo 12B,run_152__unknown__mistral_nemo_12b.md,1727,70551046ca3ae8714527867f2d15abcddd0755056c29e5a2691edb7b49e0907c
153,unknown,Mistral Small 3.2 24B Instruct,run_153__unknown__mistral_small_3_2_24b_instruct.md,3512,8d6bbc02afe67be0ec824580b8099f900c4eb0b02af286edfb4bf226b2d14151
154,unknown,NVIDIA Nemotron 3 Nano 30B-A3B,run_154__unknown__nvidia_nemotron_3_nano_30b_a3b.md,29503,0b242e43b614ec689621311e3b14b857c8ae63689695d8815d064f427caf4fa1
155,unknown,Qwen3 8B,run_155__unknown__qwen3_8b.md,138,b9cd5e4991b6febc0597e64c8b4cbdca8428f2e8e3e44fe7f536bc746e39355d
156,unknown,Qwen3.5 9B,run_156__unknown__qwen3_5_9b.md,7572,f5e830bffbc426aa937b956efd03da687135f4da6d803ab0c30c95e3cc493880
157,unknown,Gemma 3 12B IT,run_157__unknown__gemma_3_12b_it.md,3120,e28b18345f3af722552f33a56f9fa9e4d67d02f9677ac80bbcabd67dbba24862
158,unknown,Gemma 3 12B IT,run_158__unknown__gemma_3_12b_it.md,2778,b8d0912f39b04d08a11756e8d70d268e1d616f8209794c937abb8cd3f15e85a2
159,unknown,Gemma 3 12B IT,run_159__unknown__gemma_3_12b_it.md,3051,2c505f845d470312e234b924ffd4d21a34803046f5b2acd5fba187f27c8892a4
160,unknown,Gemma 3 27B IT,run_160__unknown__gemma_3_27b_it.md,3077,d8429a0c2c94de972f64b8a4c6f934ebb1c7d6ce148fec8b8bef55bd57284040
161,unknown,Gemma 4 31B IT,run_161__unknown__gemma_4_31b_it.md,2110,87c53e946dc86c4444c7935165d5a1a296a328244d365d280f5a04dd7898c454
