batch,scenario_id,category,model_name,deterministic_grade,extraction_status,helper_status,bert_precision,bert_recall,bert_f1,candidate_full_text_length_chars,candidate_no_final_text_length_chars,reference_full_text_length_chars,reference_no_final_text_length_chars,candidate_removed_chars,reference_removed_chars,final_block_removed_candidate,final_block_removed_reference,source_run_id,reference_source,candidate_source,candidate_no_final_text_hash,reference_no_final_text_hash
V2,COS_CMB_001,Cosmology,Gemma 4 31B IT,PASS,OK,OK,0.8150691986083984,0.8953188061714172,0.8551530838012695,809,621,566,566,188,0,True,False,c15d63d9-68db-48a3-85f1-9600fff091ee,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,7964f5c0302f6de80d1f6d758be375a015b26b3a0e07b75262524b0150b886c4,15fa951506f03a9eb5ed2c28484327b4435b62e9a96bdf4c0734021e007bd80b
V2,COS_CMB_001,Cosmology,Granite 4.1 8B,PASS,OK,OK,-0.22736652195453644,0.0826399177312851,-0.07554664462804794,1719,1536,566,566,183,0,True,False,33b7ba26-8ce1-4c4c-aadf-b13a0800ceed,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,4a45925636e7d53182a6b61611de66d11cd89627e08debfc121de3dee60341e8,15fa951506f03a9eb5ed2c28484327b4435b62e9a96bdf4c0734021e007bd80b
V2,COS_CMB_001,Cosmology,Llama 3.1 8B Instruct,FAIL,OK,OK,0.933107852935791,0.9022277593612671,0.9177602529525757,736,552,566,566,184,0,True,False,a3752b06-d12a-4b6f-b533-06abdc5a4a2d,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,82e452e0bb26b745747684dc28e354759c5afbe9ac1d8bab33884f4a4db1e796,15fa951506f03a9eb5ed2c28484327b4435b62e9a96bdf4c0734021e007bd80b
V2,COS_CMB_001,Cosmology,Ministral 3 8B,PASS,OK,OK,0.298952579498291,0.4710052013397217,0.3845926821231842,950,763,566,566,187,0,True,False,ea1562a8-ce25-46ef-96c3-4ea66084be94,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,6ba5e6bcb893ea76d5eed144419f90ca16be632b7bdaca15320b56c0ef531549,15fa951506f03a9eb5ed2c28484327b4435b62e9a96bdf4c0734021e007bd80b
V2,COS_CMB_001,Cosmology,Mistral NeMo 12B,FAIL,OK,OK,0.9726212620735168,0.9730362892150879,0.9728729128837585,748,566,566,566,182,0,True,False,5bde406e-bcbd-4d75-9974-030635a1f45a,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,f046449c44984bd3389741a276a8826bbfd8867695117581ece5a98c6153c03c,15fa951506f03a9eb5ed2c28484327b4435b62e9a96bdf4c0734021e007bd80b
V2,COS_CMB_001,Cosmology,Mistral Small 3.2 24B Instruct,FAIL,OK,OK,0.9291274547576904,0.9191927313804626,0.9242789149284363,742,557,566,566,185,0,True,False,2d1f22bc-291c-4722-88c7-cc1fed3ce53d,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,e9a292969b8ed0fce34e0200d7a15fdca5c501fc4ff2c7961adc62a25248f857,15fa951506f03a9eb5ed2c28484327b4435b62e9a96bdf4c0734021e007bd80b
V2,GR_ISCO_001,General Relativity,Gemma 3 12B IT,FAIL,OK,OK,0.4747718572616577,0.7316169738769531,0.6008708477020264,1085,919,734,734,166,0,True,False,0891d888-672d-4f87-bc31-5a40a8dfdd32,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,4a4ac4bbe81e37fa676cf860c7cf17fd951d1dd6b5ccd72b66d3b8fcf02dc0c6,5813c13e68ccf339d7167a4eef853a7c550bb94cf37311d9a7f6666e9a16cfc6
V2,GR_ISCO_001,General Relativity,Gemma 3 27B IT,FAIL,OK,OK,0.8497019410133362,0.8571681976318359,0.8536708950996399,922,752,734,734,170,0,True,False,a043fef4-92a9-4e39-8b94-4099ce5d7bd8,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,69eb928bef66d449c85817486962989427dc6733d8224dff6dfeae1ad4c2aff7,5813c13e68ccf339d7167a4eef853a7c550bb94cf37311d9a7f6666e9a16cfc6
V2,GR_ISCO_001,General Relativity,Gemma 4 31B IT,FAIL,OK,OK,0.8978103995323181,0.906337320804596,0.9022299647331238,906,741,734,734,165,0,True,False,e4d58dfa-4086-43b4-a5bf-1f9bec6c2599,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,4888dc3616b1228dba85cda90992fe9c46d4efa0a06bdbc03a170e5ca40e1f6b,5813c13e68ccf339d7167a4eef853a7c550bb94cf37311d9a7f6666e9a16cfc6
V2,GR_ISCO_001,General Relativity,Granite 4.1 8B,FAIL,OK,OK,-0.5096320509910583,-0.08812122792005539,-0.3063206672668457,3081,2891,734,734,190,0,True,False,40dd5ad7-5daa-4765-ad81-b279dda17267,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,6d29019e0a6f6e30566ec258b969191105b220d0b10df41006506cc564cf3765,5813c13e68ccf339d7167a4eef853a7c550bb94cf37311d9a7f6666e9a16cfc6
V2,GR_ISCO_001,General Relativity,Llama 3.1 8B Instruct,FAIL,OK,OK,0.06087985262274742,0.08223100751638412,0.07304166257381439,1351,1351,734,734,0,0,False,False,12ba6901-ab09-4608-812d-243a3ba8cb47,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,498fa69d62af69fe7f154cb94dc7575a4f2feb18e6c68657590a1772d88455a0,5813c13e68ccf339d7167a4eef853a7c550bb94cf37311d9a7f6666e9a16cfc6
V2,GR_ISCO_001,General Relativity,Ministral 3 8B,FAIL,OK,OK,-0.2069767862558365,0.17832447588443756,-0.020199451595544815,1532,1283,734,734,249,0,True,False,6a0624c3-57f8-4327-8206-731c8c16e32e,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,c08f14d74704087805458d0db0dfff6680fd1ef82acc3e991cd34e366569ebf1,5813c13e68ccf339d7167a4eef853a7c550bb94cf37311d9a7f6666e9a16cfc6
V2,GR_ISCO_001,General Relativity,Mistral NeMo 12B,FAIL,OK,OK,0.8739496469497681,0.886069655418396,0.8801986575126648,892,735,734,734,157,0,True,False,afe1c751-3c98-4578-aee5-2bc6938397b8,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,6c102bb38b4b5c9bb0ec5215a5b16c1a93e1390ad9291223aec1490ab731f9c2,5813c13e68ccf339d7167a4eef853a7c550bb94cf37311d9a7f6666e9a16cfc6
V2,GR_ISCO_001,General Relativity,Mistral Small 3.2 24B Instruct,FAIL,OK,OK,0.8040456771850586,0.8318235278129578,0.8181971907615662,930,738,734,734,192,0,True,False,ab92bfee-92d9-4fbc-b33c-4d25777badf5,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,657a394e1d7f9a0861ddb77eea323daa6f74d8f25d1d016627124463003d1528,5813c13e68ccf339d7167a4eef853a7c550bb94cf37311d9a7f6666e9a16cfc6
V2,QI_TELEPORT_001,Quantum Information Theory,Gemma 3 12B IT,PASS,OK,OK,0.9627367854118347,0.9538973569869995,0.958380937576294,767,594,603,603,173,0,True,False,30ac6932-dc57-4cf3-bf98-468533408eb0,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,54656d03bec23983a3fb1cd9a893925e7c3de514c12d3a90a74a7ec495a1874a,861afe4ca2c51dac27828132c6579a0d6f41bf339550e3455ca2d00c543f9883
V2,QI_TELEPORT_001,Quantum Information Theory,Gemma 3 27B IT,PASS,OK,OK,0.9192058444023132,0.8706479668617249,0.8949957489967346,753,578,603,603,175,0,True,False,7c096d8f-6286-4837-bb5c-38e6df0e6b56,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,d7a5513d35a39a120d01682e800131e0f7ab487fd66ba7532e02f2f213c45dcb,861afe4ca2c51dac27828132c6579a0d6f41bf339550e3455ca2d00c543f9883
V2,QI_TELEPORT_001,Quantum Information Theory,Gemma 4 31B IT,PASS,OK,OK,0.9653800129890442,0.9545938372612,0.9600467681884766,776,598,603,603,178,0,True,False,42445057-c8f5-4253-80d2-5a671b2f970e,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,777ae099bc4ce27dd610046dfd1da788f45364b21302a877b0faa569076110ce,861afe4ca2c51dac27828132c6579a0d6f41bf339550e3455ca2d00c543f9883
V2,QI_TELEPORT_001,Quantum Information Theory,Granite 4.1 8B,PASS,OK,OK,-0.032531820237636566,0.3714611530303955,0.16284263134002686,1486,1261,603,603,225,0,True,False,b82bd97e-a127-4a93-adc1-3fd1abd73acc,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,dea49d3a4e2fc6552c8a2a1fbdd4c4f1e90927c6d1949a595d5e0586053137f2,861afe4ca2c51dac27828132c6579a0d6f41bf339550e3455ca2d00c543f9883
V2,QI_TELEPORT_001,Quantum Information Theory,Llama 3.1 8B Instruct,PASS,OK,OK,0.9075059294700623,0.8769590854644775,0.8923671841621399,769,595,603,603,174,0,True,False,ba60237f-f38f-49a1-aff7-f714152bab19,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,6ab9cad80c850521596abf988477141ed6226a5c55a3d81e0c1f5390f530a9c5,861afe4ca2c51dac27828132c6579a0d6f41bf339550e3455ca2d00c543f9883
V2,QI_TELEPORT_001,Quantum Information Theory,Ministral 3 8B,FAIL,OK,OK,0.932809591293335,0.9326989650726318,0.9328635334968567,788,601,603,603,187,0,True,False,9584a665-3773-4c3a-a6fd-e7fe2777cbbb,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,c14e30375b001eb3fed7140f99883ed7d1dcd99dde7f2c066c169508f4a7b447,861afe4ca2c51dac27828132c6579a0d6f41bf339550e3455ca2d00c543f9883
V2,QI_TELEPORT_001,Quantum Information Theory,Mistral NeMo 12B,FAIL,OK,OK,0.9419586062431335,0.8695775866508484,0.9056962132453918,749,576,603,603,173,0,True,False,ef9cc4a7-79d5-4db1-94dc-31e32778b632,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,52023bf26ed18ec1d8968d8205d1ef64c5888dd6bba1c23b7172aa6c3eb41b3f,861afe4ca2c51dac27828132c6579a0d6f41bf339550e3455ca2d00c543f9883
V2,QI_TELEPORT_001,Quantum Information Theory,Mistral Small 3.2 24B Instruct,PASS,OK,OK,0.9601286053657532,0.9500311017036438,0.955148458480835,770,596,603,603,174,0,True,False,dfc152eb-9100-4902-bb40-b122e3842d5f,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,6075e377bc34ea30e61e2ec5993268af021052ed97fb5396b9ce3dd5187aeec9,861afe4ca2c51dac27828132c6579a0d6f41bf339550e3455ca2d00c543f9883
V2,QM_BERRY_001,Quantum Mechanics,Gemma 3 12B IT,PASS,OK,OK,0.9263123273849487,0.8491644859313965,0.8876641392707825,670,538,572,572,132,0,True,False,d94b3e8b-d2fa-4bfd-8261-18fc32f1e6c2,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,5fce411f57ea741a644c450f69af3e0f32a59d86993060d23991007c89117288,6d1592a3bd63f1cc3221f3b06edc21f973e8eaf7ac66a8d425735aa32c6e520a
V2,QM_BERRY_001,Quantum Mechanics,Gemma 3 27B IT,PASS,OK,OK,0.9397162199020386,0.907302975654602,0.9235884547233582,692,557,572,572,135,0,True,False,5adb68d3-d803-46a1-ac23-424753a795f6,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,e9b82bb0ef03e8e3564c3d116b65579db385d2cdb97e28e0e29cad4a891e5fc7,6d1592a3bd63f1cc3221f3b06edc21f973e8eaf7ac66a8d425735aa32c6e520a
V2,QM_BERRY_001,Quantum Mechanics,Gemma 4 31B IT,PASS,OK,OK,0.9380507469177246,0.9158524870872498,0.9270487427711487,689,558,572,572,131,0,True,False,9db36a40-841b-4808-bbed-447ab10fa45e,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,8fa10086ae134a4cd911ba648d2bbcd3a20d9f9adcc98c7eed58d3a34782eece,6d1592a3bd63f1cc3221f3b06edc21f973e8eaf7ac66a8d425735aa32c6e520a
V2,QM_BERRY_001,Quantum Mechanics,Granite 4.1 8B,PASS,OK,OK,-0.3218030035495758,0.10275692492723465,-0.11703328043222427,2512,2376,572,572,136,0,True,False,bfead667-22b7-4add-82bd-2984b62eeac1,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,b4196b3e77840b2a633b02956ae88ef563debce2bca240f701fb669d2907d878,6d1592a3bd63f1cc3221f3b06edc21f973e8eaf7ac66a8d425735aa32c6e520a
V2,QM_BERRY_001,Quantum Mechanics,Llama 3.1 8B Instruct,PASS,OK,OK,0.9214563965797424,0.899788498878479,0.9107471704483032,702,567,572,572,135,0,True,False,e85fdb3c-6f96-43c1-ae20-f3af6c23ab26,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,39afcc96580d27c2e7bb8dd53259eaabb4ee2e64d286e7ea006ce6d1dc8bda94,6d1592a3bd63f1cc3221f3b06edc21f973e8eaf7ac66a8d425735aa32c6e520a
V2,QM_BERRY_001,Quantum Mechanics,Ministral 3 8B,PASS,OK,OK,0.9376068115234375,0.9045418500900269,0.9211555123329163,691,560,572,572,131,0,True,False,fdc95d2c-3de5-4854-8c60-7b922434ac4c,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,4c7c0808a5025935892b7954c3d4b2f8f36b6b0d0be6c1322c1c044aeefa3bf9,6d1592a3bd63f1cc3221f3b06edc21f973e8eaf7ac66a8d425735aa32c6e520a
V2,QM_BERRY_001,Quantum Mechanics,Mistral NeMo 12B,PASS,OK,OK,0.9292508959770203,0.8827771544456482,0.9060737490653992,690,552,572,572,138,0,True,False,183a2bc8-11a9-43e6-a8a0-67b79cff192b,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,85ae30b20663df90ab9ea0f45613cb3152e9593af4afe3c994ae5e2365b6e4bf,6d1592a3bd63f1cc3221f3b06edc21f973e8eaf7ac66a8d425735aa32c6e520a
V2,QM_BERRY_001,Quantum Mechanics,Mistral Small 3.2 24B Instruct,PASS,OK,OK,0.9145285487174988,0.956824779510498,0.9357061386108398,748,591,572,572,157,0,True,False,0c429cf4-5519-4352-b10b-b78367d1aa96,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,8ddff9f92705b9ef7f864b39ccfd36ac0fd645b15354c659fccecf7c6553f7da,6d1592a3bd63f1cc3221f3b06edc21f973e8eaf7ac66a8d425735aa32c6e520a
V2,QFT_G2_001,Quantum Field Theory,Gemma 3 12B IT,FAIL,OK,OK,0.8484998941421509,0.874110221862793,0.8615025877952576,704,564,547,547,140,0,True,False,b29759a2-66b7-4fc4-ba87-3dfd71ad6ba3,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,69c7f36da30fc9f9c2fcd5f1f22282d8f02624c86a9950f4dc14da69b53ecdef,8e172b8d9d22f962a2d417108599e253f87539378785b6398f913b7bb0ad2450
V2,QFT_G2_001,Quantum Field Theory,Gemma 3 27B IT,PASS,OK,OK,0.41244375705718994,0.625703752040863,0.5177781581878662,814,674,547,547,140,0,True,False,25529e5b-327b-4589-a52a-93f73ca80330,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,7b071a8b5e5679ea09fa5c1587973d4927c88f4093ef3ebd98fe6d8cdd5d3ebc,8e172b8d9d22f962a2d417108599e253f87539378785b6398f913b7bb0ad2450
V2,QFT_G2_001,Quantum Field Theory,Gemma 4 31B IT,PASS,OK,OK,0.55290687084198,0.7073490023612976,0.6296619772911072,761,619,547,547,142,0,True,False,c4603976-d5d0-4988-a94c-66b6032bc539,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,039f11aba27635ccceeea1c062bd597e0f2379f02669302746a55998abbb9f2c,8e172b8d9d22f962a2d417108599e253f87539378785b6398f913b7bb0ad2450
V2,QFT_G2_001,Quantum Field Theory,Granite 4.1 8B,PASS,OK,OK,-0.23224329948425293,0.2158793956041336,-0.0167066790163517,1816,1675,547,547,141,0,True,False,4013320a-823c-4eea-a0f8-eff99460982d,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,94b526ea122e5a28eb0f850b6b08fc14c50a3243adc192562b62bd32ee4373ef,8e172b8d9d22f962a2d417108599e253f87539378785b6398f913b7bb0ad2450
V2,QFT_G2_001,Quantum Field Theory,Llama 3.1 8B Instruct,FAIL,OK,OK,0.17064958810806274,0.5811334252357483,0.36899492144584656,1133,1133,547,547,0,0,False,False,eaff2b64-dfb3-49b3-9728-2a8a928c5ac7,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,8e4f4a81632184f167b1bac027c18f7918087dc65b4e90e7f036672ff231e722,8e172b8d9d22f962a2d417108599e253f87539378785b6398f913b7bb0ad2450
V2,QFT_G2_001,Quantum Field Theory,Ministral 3 8B,FAIL,OK,OK,0.3327285349369049,0.5963976979255676,0.46222439408302307,849,704,547,547,145,0,True,False,b3e81597-bbd0-4808-a7b4-5c7c68c104f0,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,4e4497c7ff9f260bf84709024938b3ab4e3cbe4ee57a2e7c920eb7f889736377,8e172b8d9d22f962a2d417108599e253f87539378785b6398f913b7bb0ad2450
V2,QFT_G2_001,Quantum Field Theory,Mistral NeMo 12B,FAIL,OK,OK,0.4038327932357788,0.6097493767738342,0.5056512951850891,788,648,547,547,140,0,True,False,96198746-3f2d-4926-bcef-e8433bbb98d7,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,13bbadc7c954a089e9f0bc722fbcdaf935b1e96e308d29060b7e9ececab24e8c,8e172b8d9d22f962a2d417108599e253f87539378785b6398f913b7bb0ad2450
V2,QFT_G2_001,Quantum Field Theory,Mistral Small 3.2 24B Instruct,FAIL,OK,OK,0.8890972137451172,0.9021474719047546,0.8957847356796265,707,560,547,547,147,0,True,False,ca000060-3995-4bae-816b-f16738e1b5cc,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,4e6387789bc8298e0b757d70a40e6191c413e8f41ff6c7948e67fa0047365dd5,8e172b8d9d22f962a2d417108599e253f87539378785b6398f913b7bb0ad2450
V2,SR_ROCKET_001,Special Relativity,Gemma 3 12B IT,FAIL,OK,OK,0.2721118927001953,0.5501719117164612,0.4084946811199188,1439,1250,714,714,189,0,True,False,0a1bfb8e-7794-43ce-a724-e54da756c20b,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,5270c7531650701726d3e8c73a7d10b4dc300dbac1c3590c30d9500cfc14090e,cd8d32e0aae1187f760dc527a9a5d4d2071b8c1130a8427299ff0f6b0bb48f6f
V2,SR_ROCKET_001,Special Relativity,Gemma 3 27B IT,FAIL,OK,OK,0.9660372734069824,0.96426922082901,0.9652096629142761,876,714,714,714,162,0,True,False,0fdbc6f7-aa2f-4d13-85e3-1de67d52d0f1,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,71922fa9311fb585088da77362b40b7c3c536b04cf2e2626bce0b1fee35975a5,cd8d32e0aae1187f760dc527a9a5d4d2071b8c1130a8427299ff0f6b0bb48f6f
V2,SR_ROCKET_001,Special Relativity,Gemma 4 31B IT,PASS,OK,OK,0.9672633409500122,0.9649727940559387,0.9661727547645569,874,713,714,714,161,0,True,False,4e6f8a7e-4f83-4d56-8303-b5235d10c856,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,c71f4f4d76a5598403e2c34d6bbe17bb852eb79155e70080c6116102330ab8d3,cd8d32e0aae1187f760dc527a9a5d4d2071b8c1130a8427299ff0f6b0bb48f6f
V2,SR_ROCKET_001,Special Relativity,Granite 4.1 8B,FAIL,OK,OK,-0.352912038564682,0.0531470850110054,-0.15660437941551208,2608,2450,714,714,158,0,True,False,03445593-5565-4d84-808b-961d8347ef18,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,837e52e243673eb95f533b788982086de0861ad1cb3f5d3a59d0e8b39e870f4b,cd8d32e0aae1187f760dc527a9a5d4d2071b8c1130a8427299ff0f6b0bb48f6f
V2,SR_ROCKET_001,Special Relativity,Llama 3.1 8B Instruct,FAIL,OK,OK,0.7229275107383728,0.7195779085159302,0.7217051982879639,822,661,714,714,161,0,True,False,ea3655fd-8b19-4f34-972d-8d47bb3d3a2f,worked_solutions_batch1.md through worked_solutions_batch7.md,structured_prompt_pilot_v2-v5 saved raw model responses,47ec5364edf546eba4ed1535c43b7d18a1e81d7fa5f6db9115e8c2d92b21abd6,cd8d32e0aae1187f760dc527a9a5d4d2071b8c1130a8427299ff0f6b0bb48f6f
