scenario_id,model_name,prompt_mode,raw_helper_status,review_status,field_count,numeric_field_count,normalized_final_answer,extraction_status,deterministic_grade,numeric_match_count,numeric_total_count,failed_fields,error_tags,primary_failure_mode,output_path_or_run_id
COS_DESITTER_001,Gemma 4 31B IT,structured_prompt_pilot_v4,OK,CLEAN,3,3,"{""efolds_to_gh"": ""69.04"", ""gh_temp_e30_K"": ""2.757"", ""horizon_gpc"": ""4.28""}",OK,PASS,3,3,,,none,491a2baf-b665-4ce6-837c-9a9d3c21f9ed
COS_DESITTER_001,Granite 4.1 8B,structured_prompt_pilot_v4,OK,CLEAN,3,3,"{""efolds_to_gh"": ""67.5,"", ""gh_temp_e30_K"": ""2.76,"", ""horizon_gpc"": ""4.284.""}",OK,FAIL,2,3,efolds_to_gh,efolds_to_gh:MISMATCH,numeric_mismatch,26ede9fe-ceec-41da-b26e-b510f3260cff
COS_DESITTER_001,Llama 3.1 8B Instruct,structured_prompt_pilot_v4,OK,CLEAN,3,3,"{""efolds_to_gh"": ""102.5"", ""gh_temp_e30_K"": ""2.42"", ""horizon_gpc"": ""4.33""}",OK,FAIL,0,3,efolds_to_gh;gh_temp_e30_K;horizon_gpc,efolds_to_gh:MISMATCH;gh_temp_e30_K:MISMATCH;horizon_gpc:MISMATCH,numeric_mismatch,a0b03a0b-3abe-4557-a316-58e0a8feecda
COS_DESITTER_001,Ministral 3 8B,structured_prompt_pilot_v4,OK,CLEAN,3,3,"{""efolds_to_gh"": ""69.6"", ""gh_temp_e30_K"": ""1.03"", ""horizon_gpc"": ""0.428""}",OK,FAIL,1,3,gh_temp_e30_K;horizon_gpc,gh_temp_e30_K:MISMATCH;horizon_gpc:MISMATCH,numeric_mismatch,47b01d7f-0cd5-4d9d-8d26-4e6033183f2d
COS_DESITTER_001,Mistral NeMo 12B,structured_prompt_pilot_v4,OK,CLEAN,3,3,"{""efolds_to_gh"": ""12.9"", ""gh_temp_e30_K"": ""5.16"", ""horizon_gpc"": ""4.29""}",OK,FAIL,1,3,efolds_to_gh;gh_temp_e30_K,efolds_to_gh:MISMATCH;gh_temp_e30_K:MISMATCH,numeric_mismatch,3fdf2a5b-9eab-4eee-b8f4-8e57cbf19d5d
COS_DESITTER_001,Mistral Small 3.2 24B Instruct,structured_prompt_pilot_v4,OK,CLEAN,3,3,"{""efolds_to_gh"": ""78.9"", ""gh_temp_e30_K"": ""1.05"", ""horizon_gpc"": ""13.2""}",OK,FAIL,0,3,efolds_to_gh;gh_temp_e30_K;horizon_gpc,efolds_to_gh:MISMATCH;gh_temp_e30_K:MISMATCH;horizon_gpc:MISMATCH,numeric_mismatch,13d804f3-30ad-428a-ad9d-7f48deb28505
GR_PERI_001,Gemma 3 12B IT,structured_prompt_pilot_v4,OK,CLEAN,3,3,"{""advance_arcsec_century"": ""43"", ""advance_arcsec_orbit"": ""10.97"", ""orbits_per_century"": ""415.93""}",OK,FAIL,2,3,advance_arcsec_orbit,advance_arcsec_orbit:MISMATCH,numeric_mismatch,7acbd9b4-3991-424a-bd93-53630bd65ae6
GR_PERI_001,Gemma 3 27B IT,structured_prompt_pilot_v4,OK,CLEAN,3,3,"{""advance_arcsec_century"": ""181.0"", ""advance_arcsec_orbit"": ""0.435"", ""orbits_per_century"": ""415.86""}",OK,FAIL,1,3,advance_arcsec_century;advance_arcsec_orbit,advance_arcsec_century:MISMATCH;advance_arcsec_orbit:MISMATCH,numeric_mismatch,1f6f2a74-79ab-47f8-8a96-512a80ae17d9
GR_PERI_001,Gemma 4 31B IT,structured_prompt_pilot_v4,OK,CLEAN,3,3,"{""advance_arcsec_century"": ""42.98"", ""advance_arcsec_orbit"": ""0.10353"", ""orbits_per_century"": ""415.20""}",OK,PASS,3,3,,,none,f9c2e581-e664-46ba-a070-afbfb0f5f90c
GR_PERI_001,Granite 4.1 8B,structured_prompt_pilot_v4,OK,CLEAN,3,3,"{""advance_arcsec_century"": ""43.0"", ""advance_arcsec_orbit"": ""0.043"", ""orbits_per_century"": ""415.2""}",OK,FAIL,2,3,advance_arcsec_orbit,advance_arcsec_orbit:MISMATCH,numeric_mismatch,3ef8d245-f08a-4e4f-b522-65b487e020d0
GR_PERI_001,Llama 3.1 8B Instruct,structured_prompt_pilot_v4,OK,CLEAN,3,3,"{""advance_arcsec_century"": ""17.84"", ""advance_arcsec_orbit"": ""42.98"", ""orbits_per_century"": ""415.04""}",OK,FAIL,1,3,advance_arcsec_century;advance_arcsec_orbit,advance_arcsec_century:MISMATCH;advance_arcsec_orbit:MISMATCH,numeric_mismatch,3048c6ec-b6eb-429b-9e91-09317a088462
GR_PERI_001,Ministral 3 8B,structured_prompt_pilot_v4,OK,CLEAN,3,3,"{""advance_arcsec_century"": ""43.0"", ""advance_arcsec_orbit"": ""0.00897"", ""orbits_per_century"": ""415.2""}",OK,FAIL,2,3,advance_arcsec_orbit,advance_arcsec_orbit:MISMATCH,numeric_mismatch,82bfcead-f536-432a-af8d-1ace93dc33ae
GR_PERI_001,Mistral NeMo 12B,structured_prompt_pilot_v4,OK,CLEAN,3,3,"{""advance_arcsec_century"": ""1999.9"", ""advance_arcsec_orbit"": ""4.78"", ""orbits_per_century"": ""416.08""}",OK,FAIL,1,3,advance_arcsec_century;advance_arcsec_orbit,advance_arcsec_century:MISMATCH;advance_arcsec_orbit:MISMATCH,numeric_mismatch,efeb19b9-ea9e-4b95-99d6-6bc144ac375a
GR_PERI_001,Mistral Small 3.2 24B Instruct,structured_prompt_pilot_v4,OK,CLEAN,3,3,"{""advance_arcsec_century"": ""43"", ""advance_arcsec_orbit"": ""8.74"", ""orbits_per_century"": ""415.3""}",OK,FAIL,2,3,advance_arcsec_orbit,advance_arcsec_orbit:MISMATCH,numeric_mismatch,f517cb34-37e3-40da-9f4b-b4940a78c319
QFT_UNRUH_001,Gemma 3 12B IT,structured_prompt_pilot_v4,OK,CLEAN,2,2,"{""accel_for_1K_e20"": ""1.18"", ""unruh_temp_K"": ""2.64""}",OK,FAIL,0,2,accel_for_1K_e20;unruh_temp_K,accel_for_1K_e20:MISMATCH;unruh_temp_K:MISMATCH,numeric_mismatch,ce5ffba6-337f-4787-9fca-5fd406284075
QFT_UNRUH_001,Gemma 3 27B IT,structured_prompt_pilot_v4,OK,CLEAN,2,2,"{""accel_for_1K_e20"": ""2.467"", ""unruh_temp_K"": ""0.405""}",OK,PASS,2,2,,,none,bc3b7c0f-6520-491a-9c73-d717e54f5380
QFT_UNRUH_001,Gemma 4 31B IT,structured_prompt_pilot_v4,OK,CLEAN,2,2,"{""accel_for_1K_e20"": ""2.47"", ""unruh_temp_K"": ""0.405""}",OK,PASS,2,2,,,none,937f7088-15a5-4851-8a17-ce4247b8580d
QFT_UNRUH_001,Llama 3.1 8B Instruct,structured_prompt_pilot_v4,OK,CLEAN,2,2,"{""accel_for_1K_e20"": ""183"", ""unruh_temp_K"": ""1.12""}",OK,FAIL,0,2,accel_for_1K_e20;unruh_temp_K,accel_for_1K_e20:MISMATCH;unruh_temp_K:MISMATCH,numeric_mismatch,9a233092-d4f6-4160-a7d0-28edb2dbf792
QFT_UNRUH_001,Ministral 3 8B,structured_prompt_pilot_v4,OK,CLEAN,2,2,"{""accel_for_1K_e20"": ""2.036"", ""unruh_temp_K"": ""0.4845""}",OK,FAIL,0,2,accel_for_1K_e20;unruh_temp_K,accel_for_1K_e20:MISMATCH;unruh_temp_K:MISMATCH,numeric_mismatch,5bd0cc60-5000-4404-a1d2-195f2b59bc02
QFT_UNRUH_001,Mistral NeMo 12B,structured_prompt_pilot_v4,OK,CLEAN,2,2,"{""accel_for_1K_e20"": ""2.82"", ""unruh_temp_K"": ""6.86 \\times 10^{-4}""}",OK,FAIL,0,2,accel_for_1K_e20;unruh_temp_K,accel_for_1K_e20:MISMATCH;unruh_temp_K:MISMATCH,numeric_mismatch,fbbc26e8-3a8f-4492-b2f3-c0831106c117
QFT_UNRUH_001,Mistral Small 3.2 24B Instruct,structured_prompt_pilot_v4,OK,CLEAN,2,2,"{""accel_for_1K_e20"": ""2.00"", ""unruh_temp_K"": ""4.00""}",OK,FAIL,0,2,accel_for_1K_e20;unruh_temp_K,accel_for_1K_e20:MISMATCH;unruh_temp_K:MISMATCH,numeric_mismatch,b6b32afe-5f66-490d-a564-dbe0d3ddcd66
QI_HOLEVO_001,Gemma 3 12B IT,structured_prompt_pilot_v4,OK,CLEAN,3,3,"{""avg_state_purity"": ""0.75"", ""eigenvalue_large"": ""0.8536"", ""holevo_chi_bits"": ""0.596""}",OK,PASS,3,3,,,none,857a1764-71f5-4759-a705-172afc529699
QI_HOLEVO_001,Gemma 3 27B IT,structured_prompt_pilot_v4,OK,CLEAN,3,3,"{""avg_state_purity"": ""0.854"", ""eigenvalue_large"": ""0.921"", ""holevo_chi_bits"": ""0.284""}",OK,FAIL,0,3,avg_state_purity;eigenvalue_large;holevo_chi_bits,avg_state_purity:MISMATCH;eigenvalue_large:MISMATCH;holevo_chi_bits:MISMATCH,numeric_mismatch,74f13abf-916e-4c7d-bf0a-e6ce907c4931
QI_HOLEVO_001,Gemma 4 31B IT,structured_prompt_pilot_v4,OK,CLEAN,3,3,"{""avg_state_purity"": ""0.75"", ""eigenvalue_large"": ""0.8536"", ""holevo_chi_bits"": ""0.600""}",OK,PASS,3,3,,,none,0087022b-4054-4302-90e7-1c39288b64c9
QI_HOLEVO_001,Granite 4.1 8B,structured_prompt_pilot_v4,OK,CLEAN,3,3,"{""avg_state_purity"": ""0.25,"", ""eigenvalue_large"": ""0.5,"", ""holevo_chi_bits"": ""0.5.""}",OK,FAIL,0,3,avg_state_purity;eigenvalue_large;holevo_chi_bits,avg_state_purity:MISMATCH;eigenvalue_large:MISMATCH;holevo_chi_bits:MISMATCH,numeric_mismatch,8a8ce38b-369d-4716-b6cc-fb4b687dc5ac
QI_HOLEVO_001,Llama 3.1 8B Instruct,structured_prompt_pilot_v4,OK,CLEAN,3,1,"{""avg_state_purity"": ""5/8"", ""eigenvalue_large"": ""3/4"", ""holevo_chi_bits"": ""0.811""}",OK,FAIL,0,3,avg_state_purity;eigenvalue_large;holevo_chi_bits,avg_state_purity:MISMATCH;eigenvalue_large:MISMATCH;holevo_chi_bits:MISMATCH,numeric_mismatch,038e0394-8fac-49ea-be6a-c65b10f8f47d
QI_HOLEVO_001,Ministral 3 8B,structured_prompt_pilot_v4,OK,CLEAN,3,0,"{""avg_state_purity"": ""\\frac{7}{4}"", ""eigenvalue_large"": ""\\frac{3 + \\sqrt{5}}{4}"", ""holevo_chi_bits"": ""-\\frac{3+\\sqrt{5}}{4}\\log_2\\left(\\frac{3+\\sqrt{5}}{4}\\right) - \\frac{3-\\sqrt{5}}{4}\\log_2\\left(\\frac{3-\\sqrt{5}}{4}\\right)""}",OK,FAIL,0,3,avg_state_purity;eigenvalue_large;holevo_chi_bits,avg_state_purity:MISMATCH;eigenvalue_large:MISMATCH;holevo_chi_bits:UNPARSEABLE:parse-fail:TokenError,unparseable_value,332b6344-a602-4bd9-be3f-788d8b061d0b
QI_HOLEVO_001,Mistral NeMo 12B,structured_prompt_pilot_v4,OK,CLEAN,3,3,"{""avg_state_purity"": ""0.82"", ""eigenvalue_large"": ""0.9"", ""holevo_chi_bits"": ""0.469""}",OK,FAIL,0,3,avg_state_purity;eigenvalue_large;holevo_chi_bits,avg_state_purity:MISMATCH;eigenvalue_large:MISMATCH;holevo_chi_bits:MISMATCH,numeric_mismatch,cb6bf16d-0fdc-4ac2-8b99-584645552174
QI_HOLEVO_001,Mistral Small 3.2 24B Instruct,structured_prompt_pilot_v4,OK,CLEAN,3,3,"{""avg_state_purity"": ""0.853553390593"", ""eigenvalue_large"": ""0.853553390593"", ""holevo_chi_bits"": ""0.811278124459""}",OK,FAIL,1,3,avg_state_purity;holevo_chi_bits,avg_state_purity:MISMATCH;holevo_chi_bits:MISMATCH,numeric_mismatch,e01cab6c-c9b8-4596-9bb8-f2a679b4b0b0
QM_AB_001,Gemma 3 12B IT,structured_prompt_pilot_v4,OK,CLEAN,3,3,"{""flux_quanta"": ""7.593"", ""fringe_shift"": ""7.593"", ""total_phase_rad"": ""47.58""}",OK,PASS,3,3,,,none,a84c9bda-d79c-414d-bef6-54044e441444
QM_AB_001,Gemma 3 27B IT,structured_prompt_pilot_v4,OK,CLEAN,3,3,"{""flux_quanta"": ""7.59"", ""fringe_shift"": ""7.59"", ""total_phase_rad"": ""47.7""}",OK,PASS,3,3,,,none,11e2b649-bad4-4438-8add-32ce29e75176
QM_AB_001,Gemma 4 31B IT,structured_prompt_pilot_v4,OK,CLEAN,3,3,"{""flux_quanta"": ""7.597"", ""fringe_shift"": ""7.597"", ""total_phase_rad"": ""47.73""}",OK,PASS,3,3,,,none,3c234c35-9365-43b8-81e9-98f5b0ac5e2f
QM_AB_001,Granite 4.1 8B,structured_prompt_pilot_v4,OK,CLEAN,3,3,"{""flux_quanta"": ""7.6"", ""fringe_shift"": ""7.6"", ""total_phase_rad"": ""47.8""}",OK,PASS,3,3,,,none,9fc843b5-b6bd-412e-9421-9525b76fb61a
QM_AB_001,Llama 3.1 8B Instruct,structured_prompt_pilot_v4,OK,CLEAN,3,3,"{""flux_quanta"": ""6.09"", ""fringe_shift"": ""6.09"", ""total_phase_rad"": ""38.25""}",OK,FAIL,0,3,flux_quanta;fringe_shift;total_phase_rad,flux_quanta:MISMATCH;fringe_shift:MISMATCH;total_phase_rad:MISMATCH,numeric_mismatch,0dc7c9f3-a23b-4f8a-888f-b851d0d9fcf5
QM_AB_001,Ministral 3 8B,structured_prompt_pilot_v4,OK,CLEAN,3,3,"{""flux_quanta"": ""2.418"", ""fringe_shift"": ""2.418"", ""total_phase_rad"": ""15.19""}",OK,FAIL,0,3,flux_quanta;fringe_shift;total_phase_rad,flux_quanta:MISMATCH;fringe_shift:MISMATCH;total_phase_rad:MISMATCH,numeric_mismatch,18568238-1307-480c-8ad5-578fb5bb8a74
QM_AB_001,Mistral NeMo 12B,structured_prompt_pilot_v4,OK,CLEAN,3,3,"{""flux_quanta"": ""6.16"", ""fringe_shift"": ""3.08"", ""total_phase_rad"": ""38.24""}",OK,FAIL,0,3,flux_quanta;fringe_shift;total_phase_rad,flux_quanta:MISMATCH;fringe_shift:MISMATCH;total_phase_rad:MISMATCH,numeric_mismatch,99eb6948-8aa7-4cad-9751-aeacbf3f4ef3
QM_AB_001,Mistral Small 3.2 24B Instruct,structured_prompt_pilot_v4,OK,CLEAN,3,3,"{""flux_quanta"": ""0.7548"", ""fringe_shift"": ""0.7548"", ""total_phase_rad"": ""4.748""}",OK,FAIL,0,3,flux_quanta;fringe_shift;total_phase_rad,flux_quanta:MISMATCH;fringe_shift:MISMATCH;total_phase_rad:MISMATCH,numeric_mismatch,49d13997-4d21-4608-87e8-5450a2ba9422
SR_TWIN_001,Gemma 3 12B IT,structured_prompt_pilot_v4,OK,CLEAN,4,4,"{""doppler_k_approach"": ""2"", ""doppler_k_recede"": ""0.5"", ""earth_time_yr"": ""20"", ""traveler_time_yr"": ""16""}",OK,PASS,4,4,,,none,f8fc8c1d-de26-445b-afc1-189f7ca41841
SR_TWIN_001,Gemma 3 27B IT,structured_prompt_pilot_v4,OK,CLEAN,4,4,"{""doppler_k_approach"": ""2"", ""doppler_k_recede"": ""0.5"", ""earth_time_yr"": ""10"", ""traveler_time_yr"": ""8""}",OK,FAIL,2,4,earth_time_yr;traveler_time_yr,earth_time_yr:MISMATCH;traveler_time_yr:MISMATCH,numeric_mismatch,e393f274-ca90-4884-a598-72d0a544a214
SR_TWIN_001,Gemma 4 31B IT,structured_prompt_pilot_v4,OK,CLEAN,4,4,"{""doppler_k_approach"": ""2"", ""doppler_k_recede"": ""0.5"", ""earth_time_yr"": ""20"", ""traveler_time_yr"": ""16""}",OK,PASS,4,4,,,none,6e7e34c6-5aed-4b2b-a274-52a989157449
SR_TWIN_001,Granite 4.1 8B,structured_prompt_pilot_v4,OK,CLEAN,4,4,"{""doppler_k_approach"": ""2"", ""doppler_k_recede"": ""0.5"", ""earth_time_yr"": ""20"", ""traveler_time_yr"": ""16""}",OK,PASS,4,4,,,none,660bac8a-431e-4e1e-a1b0-4327460893b8
SR_TWIN_001,Llama 3.1 8B Instruct,structured_prompt_pilot_v4,OK,CLEAN,4,4,"{""doppler_k_approach"": ""2"", ""doppler_k_recede"": ""0.5"", ""earth_time_yr"": ""20"", ""traveler_time_yr"": ""16""}",OK,PASS,4,4,,,none,e4b0002a-0a46-40ec-9d3e-b250bc767a85
SR_TWIN_001,Ministral 3 8B,structured_prompt_pilot_v4,OK,CLEAN,4,4,"{""doppler_k_approach"": ""2,"", ""doppler_k_recede"": ""0.5,"", ""earth_time_yr"": ""20.0,"", ""traveler_time_yr"": ""16.0.""}",OK,PASS,4,4,,,none,6d501bde-1cd3-4665-a659-90dc6642c4eb
SR_TWIN_001,Mistral NeMo 12B,structured_prompt_pilot_v4,OK,CLEAN,4,4,"{""doppler_k_approach"": ""2"", ""doppler_k_recede"": ""0.5"", ""earth_time_yr"": ""20"", ""traveler_time_yr"": ""6.4""}",OK,FAIL,3,4,traveler_time_yr,traveler_time_yr:MISMATCH,numeric_mismatch,063e679c-7ca5-4ff4-b22f-9e6dbfbb775f
SR_TWIN_001,Mistral Small 3.2 24B Instruct,structured_prompt_pilot_v4,OK,CLEAN,4,4,"{""doppler_k_approach"": ""2"", ""doppler_k_recede"": ""0.5"", ""earth_time_yr"": ""20"", ""traveler_time_yr"": ""16""}",OK,PASS,4,4,,,none,64764691-9526-41c1-b9f7-85d4db8caf05
STAT_LANDAUER_001,Gemma 3 12B IT,structured_prompt_pilot_v4,OK,CLEAN,2,2,"{""landauer_meV"": ""2.91"", ""landauer_zJ"": ""29.1""}",OK,FAIL,0,2,landauer_meV;landauer_zJ,landauer_meV:MISMATCH;landauer_zJ:MISMATCH,numeric_mismatch,35cbf917-fdbe-4d9a-ad8e-72e1515207f8
STAT_LANDAUER_001,Gemma 3 27B IT,structured_prompt_pilot_v4,OK,CLEAN,2,2,"{""landauer_meV"": ""0.0288"", ""landauer_zJ"": ""2.88""}",OK,FAIL,1,2,landauer_meV,landauer_meV:MISMATCH,numeric_mismatch,1c025782-1745-4b84-8da5-82a9a85a1fb9
STAT_LANDAUER_001,Gemma 4 31B IT,structured_prompt_pilot_v4,OK,CLEAN,2,2,"{""landauer_meV"": ""17.89"", ""landauer_zJ"": ""2.867""}",OK,PASS,2,2,,,none,1080327a-aefa-4292-9f3b-922c1e3ba116
STAT_LANDAUER_001,Granite 4.1 8B,structured_prompt_pilot_v4,OK,CLEAN,2,2,"{""landauer_meV"": ""17.9"", ""landauer_zJ"": ""2.87""}",OK,PASS,2,2,,,none,c135ca95-a9ca-4c99-aecc-4d07f769530b
STAT_LANDAUER_001,Llama 3.1 8B Instruct,structured_prompt_pilot_v4,OK,CLEAN,2,2,"{""landauer_meV"": ""24.2"", ""landauer_zJ"": ""0.776""}",OK,FAIL,0,2,landauer_meV;landauer_zJ,landauer_meV:MISMATCH;landauer_zJ:MISMATCH,numeric_mismatch,fba33b1e-020a-44db-9c7f-9f60b5d06de4
STAT_LANDAUER_001,Ministral 3 8B,structured_prompt_pilot_v4,OK,CLEAN,2,2,"{""landauer_meV"": ""0.178"", ""landauer_zJ"": ""2.857""}",OK,FAIL,1,2,landauer_meV,landauer_meV:MISMATCH,numeric_mismatch,a293ece1-1ae2-4e4f-baf4-afbd9c960aaa
STAT_LANDAUER_001,Mistral NeMo 12B,structured_prompt_pilot_v4,OK,CLEAN,2,2,"{""landauer_meV"": ""24.6 \\text{ meV}"", ""landauer_zJ"": ""304 \\text{ zJ}""}",OK,FAIL,0,2,landauer_meV;landauer_zJ,landauer_meV:MISMATCH;landauer_zJ:MISMATCH,numeric_mismatch,a9f5c35a-ab37-4053-b796-3f9bc9da5c12
STAT_LANDAUER_001,Mistral Small 3.2 24B Instruct,structured_prompt_pilot_v4,OK,CLEAN,2,2,"{""landauer_meV"": ""0.0179"", ""landauer_zJ"": ""28.5""}",OK,FAIL,0,2,landauer_meV;landauer_zJ,landauer_meV:MISMATCH;landauer_zJ:MISMATCH,numeric_mismatch,da4ea072-41a1-4b37-b488-090c88c329b3
